Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
tester_app1,2026-03-08 09:18:29.798,0.04,0.0,0.03,0.0,0.06,0.0,0.87,neutral
tester_app1,2026-03-08 09:18:29.835,0.08,0.0,0.05,0.0,0.15,0.0,0.71,neutral
tester_app1,2026-03-08 09:18:29.875,0.21,0.0,0.06,0.0,0.2,0.0,0.53,neutral
tester_app1,2026-03-08 09:18:29.911,0.14,0.0,0.09,0.0,0.35,0.01,0.41,neutral
tester_app1,2026-03-08 09:18:29.949,0.11,0.0,0.07,0.0,0.52,0.01,0.29,sad
tester_app1,2026-03-08 09:18:29.986,0.1,0.0,0.08,0.0,0.51,0.0,0.31,sad
tester_app1,2026-03-08 09:18:30.024,0.16,0.0,0.07,0.0,0.42,0.0,0.35,sad
tester_app1,2026-03-08 09:18:30.061,0.14,0.0,0.08,0.0,0.49,0.0,0.29,sad
tester_app1,2026-03-08 09:18:30.097,0.18,0.0,0.07,0.0,0.5,0.0,0.24,sad
tester_app1,2026-03-08 09:18:30.138,0.13,0.0,0.08,0.0,0.52,0.0,0.26,sad
tester_app1,2026-03-08 09:18:30.175,0.23,0.0,0.08,0.0,0.51,0.0,0.17,sad
tester_app1,2026-03-08 09:18:30.211,0.19,0.0,0.08,0.0,0.44,0.0,0.28,sad
tester_app1,2026-03-08 09:18:30.248,0.19,0.0,0.06,0.0,0.48,0.0,0.26,sad
tester_app1,2026-03-08 09:18:30.291,0.06,0.0,0.05,0.0,0.22,0.0,0.66,neutral
tester_app1,2026-03-08 09:18:30.327,0.11,0.0,0.03,0.0,0.31,0.0,0.56,neutral
tester_app1,2026-03-08 09:18:30.364,0.26,0.0,0.07,0.0,0.39,0.0,0.27,sad
tester_app1,2026-03-08 09:18:30.405,0.1,0.0,0.03,0.0,0.24,0.0,0.62,neutral
tester_app1,2026-03-08 09:18:30.447,0.27,0.0,0.06,0.0,0.25,0.0,0.41,neutral
tester_app1,2026-03-08 09:18:30.487,0.11,0.0,0.03,0.0,0.25,0.0,0.6,neutral
tester_app1,2026-03-08 09:18:30.524,0.18,0.0,0.02,0.0,0.26,0.0,0.54,neutral
tester_app1,2026-03-08 09:18:30.563,0.19,0.0,0.07,0.0,0.4,0.01,0.33,sad
tester_app1,2026-03-08 09:18:30.600,0.28,0.0,0.07,0.0,0.32,0.01,0.32,sad
tester_app1,2026-03-08 09:18:30.636,0.19,0.0,0.08,0.0,0.5,0.0,0.23,sad
tester_app1,2026-03-08 09:18:30.680,0.26,0.0,0.1,0.0,0.4,0.01,0.22,sad
tester_app1,2026-03-08 09:18:30.718,0.21,0.0,0.06,0.0,0.45,0.0,0.27,sad
tester_app1,2026-03-08 09:18:30.760,0.19,0.0,0.07,0.0,0.36,0.02,0.35,sad
tester_app1,2026-03-08 09:18:30.806,0.24,0.0,0.08,0.0,0.4,0.0,0.27,sad
tester_app1,2026-03-08 09:18:30.846,0.23,0.0,0.07,0.0,0.37,0.01,0.32,sad
tester_app1,2026-03-08 09:18:30.882,0.21,0.0,0.04,0.0,0.23,0.01,0.52,neutral
tester_app1,2026-03-08 09:18:30.918,0.25,0.0,0.07,0.0,0.34,0.01,0.32,sad
