Usuario,TimeStamp,Emocion,Confianza_en_prediccion
diego,2026-03-07 18:50:56.176,sad,0.49
diego,2026-03-07 18:50:56.209,sad,0.44
diego,2026-03-07 18:50:56.244,sad,0.59
diego,2026-03-07 18:50:56.278,sad,0.43
diego,2026-03-07 18:50:56.312,sad,0.49
diego,2026-03-07 18:50:56.346,fear,0.26
diego,2026-03-07 18:50:56.383,fear,0.34
diego,2026-03-07 18:50:56.417,sad,0.35
diego,2026-03-07 18:50:56.451,fear,0.51
diego,2026-03-07 18:50:56.483,fear,0.39
diego,2026-03-07 18:50:56.517,fear,0.47
diego,2026-03-07 18:50:56.550,fear,0.48
diego,2026-03-07 18:50:56.583,fear,0.78
diego,2026-03-07 18:50:56.615,fear,0.64
diego,2026-03-07 18:50:56.648,fear,0.62
diego,2026-03-07 18:50:56.681,fear,0.56
diego,2026-03-07 18:50:56.714,fear,0.41
diego,2026-03-07 18:50:56.746,fear,0.47
diego,2026-03-07 18:50:56.779,fear,0.67
diego,2026-03-07 18:50:56.812,fear,0.69
diego,2026-03-07 18:50:56.845,fear,0.48
diego,2026-03-07 18:50:56.877,fear,0.39
diego,2026-03-07 18:50:56.910,fear,0.49
diego,2026-03-07 18:50:56.943,fear,0.65
diego,2026-03-07 18:50:56.975,fear,0.36
diego,2026-03-07 18:50:57.008,fear,0.32
diego,2026-03-07 18:50:57.042,fear,0.44
diego,2026-03-07 18:50:57.075,fear,0.66
diego,2026-03-07 18:50:57.109,fear,0.57
diego,2026-03-07 18:50:57.142,fear,0.47
diego,2026-03-07 18:50:57.175,fear,0.54
diego,2026-03-07 18:50:57.210,sad,0.46
diego,2026-03-07 18:50:57.246,sad,0.45
diego,2026-03-07 18:50:57.279,neutral,0.46
diego,2026-03-07 18:50:57.314,neutral,0.55
diego,2026-03-07 18:50:57.349,neutral,0.56
diego,2026-03-07 18:50:57.384,neutral,0.69
diego,2026-03-07 18:50:57.421,neutral,0.46
diego,2026-03-07 18:50:57.465,neutral,0.6
diego,2026-03-07 18:50:57.508,neutral,0.49
diego,2026-03-07 18:50:57.548,fear,0.3
diego,2026-03-07 18:50:57.589,neutral,0.43
diego,2026-03-07 18:50:57.630,neutral,0.54
diego,2026-03-07 18:50:57.670,neutral,0.65
diego,2026-03-07 18:50:57.712,neutral,0.43
diego,2026-03-07 18:50:57.755,happy,0.5
diego,2026-03-07 18:50:57.797,happy,0.78
diego,2026-03-07 18:50:57.837,neutral,0.61
diego,2026-03-07 18:50:57.878,neutral,0.46
diego,2026-03-07 18:50:57.911,neutral,0.7
diego,2026-03-07 18:50:57.948,happy,0.48
diego,2026-03-07 18:50:57.989,neutral,0.65
diego,2026-03-07 18:50:58.024,neutral,0.75
diego,2026-03-07 18:50:58.056,neutral,0.83
diego,2026-03-07 18:50:58.095,neutral,0.73
diego,2026-03-07 18:50:58.127,neutral,0.78
diego,2026-03-07 18:50:58.164,neutral,0.78
diego,2026-03-07 18:50:58.197,neutral,0.6
diego,2026-03-07 18:50:58.231,neutral,0.72
diego,2026-03-07 18:50:58.267,neutral,0.65
diego,2026-03-07 18:50:58.305,neutral,0.63
diego,2026-03-07 18:50:58.339,neutral,0.62
diego,2026-03-07 18:51:51.576,neutral,0.8
diego,2026-03-07 18:51:51.576,sad,0.42
diego,2026-03-07 18:51:51.738,neutral,0.75
diego,2026-03-07 18:51:51.816,neutral,0.7
diego,2026-03-07 18:51:51.888,neutral,0.6
diego,2026-03-07 18:51:51.971,neutral,0.58
diego,2026-03-07 18:51:52.047,neutral,0.67
diego,2026-03-07 18:51:52.124,neutral,0.43
diego,2026-03-07 18:51:52.208,neutral,0.53
diego,2026-03-07 18:51:52.290,neutral,0.68
diego,2026-03-07 18:51:52.379,neutral,0.39
diego,2026-03-07 18:51:52.459,angry,0.41
diego,2026-03-07 18:51:52.547,surprise,0.43
diego,2026-03-07 18:51:52.624,surprise,0.63
diego,2026-03-07 18:51:52.704,surprise,0.71
diego,2026-03-07 18:51:52.784,angry,0.54
diego,2026-03-07 18:51:52.857,angry,0.58
diego,2026-03-07 18:51:52.933,angry,0.48
diego,2026-03-07 18:51:53.005,surprise,0.52
diego,2026-03-07 18:51:53.077,surprise,0.65
diego,2026-03-07 18:51:53.150,surprise,0.55
diego,2026-03-07 18:51:53.224,surprise,0.54
diego,2026-03-07 18:51:53.299,surprise,0.62
diego,2026-03-07 18:51:53.369,angry,0.58
diego,2026-03-07 18:51:53.437,angry,0.5
diego,2026-03-07 18:51:53.511,surprise,0.58
diego,2026-03-07 18:51:53.583,surprise,0.69
diego,2026-03-07 18:51:53.655,surprise,0.47
diego,2026-03-07 18:51:53.727,angry,0.43
diego,2026-03-07 18:51:53.799,angry,0.46
diego,2026-03-07 18:51:53.873,surprise,0.46
diego,2026-03-07 18:51:53.944,neutral,0.27
diego,2026-03-07 18:51:54.013,neutral,0.74
diego,2026-03-07 18:51:54.084,neutral,0.53
diego,2026-03-07 18:51:54.155,neutral,0.64
diego,2026-03-07 18:51:54.245,neutral,0.66
diego,2026-03-07 18:51:54.245,angry,0.33
diego,2026-03-07 18:51:54.323,neutral,0.7
diego,2026-03-07 18:51:54.396,neutral,0.71
diego,2026-03-07 18:51:54.396,angry,0.29
diego,2026-03-07 18:51:54.464,neutral,0.71
diego,2026-03-07 18:51:54.538,neutral,0.79
diego,2026-03-07 18:51:54.603,neutral,0.7
diego,2026-03-07 18:51:54.667,neutral,0.63
diego,2026-03-07 18:51:54.731,neutral,0.46
diego,2026-03-07 18:51:54.795,neutral,0.45
diego,2026-03-07 18:51:54.858,neutral,0.57
diego,2026-03-07 18:51:54.922,neutral,0.64
diego,2026-03-07 18:51:54.988,neutral,0.81
diego,2026-03-07 18:51:55.044,neutral,0.85
diego,2026-03-07 18:51:55.098,neutral,0.79
diego,2026-03-07 18:51:55.160,neutral,0.79
diego,2026-03-07 18:51:55.214,neutral,0.84
diego,2026-03-07 18:51:55.269,neutral,0.79
diego,2026-03-07 18:51:55.269,sad,0.37
diego,2026-03-07 18:51:55.321,neutral,0.77
diego,2026-03-07 18:51:55.321,angry,0.37
diego,2026-03-07 18:51:55.373,neutral,0.54
diego,2026-03-07 18:51:55.419,neutral,0.42
diego,2026-03-07 18:51:55.472,neutral,0.4
diego,2026-03-07 18:51:55.518,sad,0.36
diego,2026-03-07 18:51:55.567,neutral,0.35
diego,2026-03-07 18:51:55.626,neutral,0.37
diego,2026-03-07 18:51:55.673,sad,0.35
diego,2026-03-07 18:51:55.719,sad,0.45
diego,2026-03-07 18:51:55.764,sad,0.35
diego,2026-03-07 18:51:55.804,neutral,0.5
diego,2026-03-07 18:51:55.845,neutral,0.39
diego,2026-03-07 18:51:55.882,sad,0.41
diego,2026-03-07 18:51:55.921,neutral,0.61
diego,2026-03-07 18:51:55.959,neutral,0.5
diego,2026-03-07 18:51:56.000,neutral,0.41
diego,2026-03-07 18:51:56.042,neutral,0.58
diego,2026-03-07 18:51:56.078,neutral,0.57
diego,2026-03-07 18:51:56.115,neutral,0.54
diego,2026-03-07 18:51:56.153,sad,0.38
